,Title,Summary,Location,Company,Salary
133,Database Engineer,"Degree in Computer Science or equivalent industry experience.Oracle Real Application Clusters (RAC), Oracle Data Guard, ASM.",Singapore,Salesforce,
134,Lab Executive,The establishment of new courses in undergraduate Landscape Architecture and postgraduate in Architectural Conservation also requires technology for on-site…,Queenstown,National University of Singapore,
135,Security Architect,"Bachelor’s degree in Computer Science, Engineering, or equivalent experience.You'll have a solid understanding of defence in depth and how security controls…",Singapore,Lazada,
136,Security Architect,"Understanding of how to implement data loss prevention policies using technologies such as Symantec CASB or Microsoft Office 365, etc.",Singapore,percept-solutions,"$12,000 - $18,000 a month"
137,Data Architect (Big Data),"At least Diploma in Data Science or equivalent.Preferably with proficient in data science language Spark, Hadoop, Hive and SQL.",Singapore,Talent Trader Group Pte Ltd,
138,AWS APAC Next Gen Internship Program (July to December 2020),"Our consulting partners are professional services firms that help customers design, architect, and migrate their workloads and applications on AWS.",Singapore,Amazon Web Services Singapore,
139,Business Analyst (Key Accounts),They are looking for a Business Analyst to support their key accounts.You have at least 3 years experience as a Business Analyst in technical application…,Singapore,Snaphunt Pte Ltd,
140,Global Partner Solutions Architect,"And AWS Certified Solutions Architect – Professional, AWS Certified Devops Engineer - Professional.BS level degree required, computer science, business or math…",Singapore,Amazon Web Services Singapore,
141,Domain Architect,"Bachelor's degree in computer science, engineering or similar domain.An understanding of all domains of Enterprise Architecture, including the business, data,…",Singapore,United Overseas Bank,
142,Solution Architect - Implementations,Manipulate and conduct data analysis on large data sets;Clean up a large customer data set with no excel assistance/help from teammates.,Singapore,Sitetracker,
143,Splunk Engineer,"Splunk Enterprise Certified Architect or Splunk Certified Developer.Troubleshoot and optimize all aspects of applications by utilizing the data from Splunk,…",Singapore,eTeam Hong Kong,
144,Network Solution Architect APAC,The Network Solution Architect (NSA) provides significant personal contribution to winning large/complex Campus and Data Center Network projects by delivering…,Bedok,SINGAPORE ALE PTE. LTD.,"$7,000 - $12,000 a month"
145,#GIT | Ref: 112813 - Staff Software Engineer,Career growth path as engineer:Build automation (Gradle/Maven + Bamboo).You are a strong Senior Software Engineer;Why work for Singtel Digital Technologies?,Singapore,Singtel,
146,Solution Architect,"Conduct needs analysis, data reviews, and product demonstrations.We help people see and understand their data.Some of the things you’ll be doing include ….",Singapore,Tableau,
147,"Senior Strategist, Strategy & Planning","Strategists work with client services, creatives, data scientists, user experience architects and technology professionals.",Singapore,Digitas,
148,Business Analyst (Corporate Banking),"You possess sound knowledge in Data Warehousing & Data Lake concepts, Finance & Risk Areas.You possess a degree in Computer Science, Applied Mathematics,…",Singapore,Snaphunt Pte Ltd,
149,ENGINEERING DIRECTOR,"A Bachelor of Science Degree in Electrical Engineering, Computer Science or related field.Successful in data driven continuous improvement.",Singapore,Rockwell Automation,
150,Head (IT Infrastructure),"Relevant industry certification(s) such Microsoft Azure Architect Technologies/Design, AWS Certified Solutions Architect (Professional), CITPM, PMP, CITBCM,…",Singapore,Temasek Polytechnic,
151,PEGA Talent Pool - Europe,Please refer and please approve being referred and accept our Data Privacy policy.Welcome to the PEGA Talent Pool for EMEA.,Singapore,Infosys Limited Singapore Branch,
152,"Engineer, Orchestration Engineering - 5G Enterprise (115529)","Strong working knowledge data center and SDN technologies eg Spine-Leaf, VXLAN, OVSDB, Openflow.To support that journey we are searching for top talent and…",Singapore,Singtel,
153,BIM Coordinator,I understand and agree that the data collected will be used for recruitment purpose only.Work closely with Architects and team members in the creation and…,Singapore,Aedas,
154,Solutions Architect – Singapore,Experience working on/with Machine Learning / Data Science products such as Apache Spark and Tensorflow.In Computer Science / Information systems.,Singapore,GigaSpaces,
155,Senior / Lead Data Scientist,NCS is looking for a data scientist to address challenging data science problems by discovering information hidden in vast amount of data by leveraging…,Singapore,NCS,
156,IT Network Engineer,"Design, configure and support complex Data Center network, multi-vendor environment with open standard protocol, redundancy and resilience network solution.",Singapore,"Arrow Electronics, Inc.",
157,Principal Naval Architect,"Chartered Engineer or Incorporated Engineer preferred but not required.Experience in development of experimental design, construction of experimental apparatus…",Singapore,Exponent,
158,Solution Architect - Northeast,"Distributed application & data processing architectures.Design and test data models which are pragmatic, performant, and scalable.",East Coast,DataStax,
159,Digital and Analytics Data Architect 1,"Ideally with exposure in data modelling, data governance, data architecture, data warehousing, ETL tools, data visualization or related fields.",Singapore,Goodyear,
160,Project Manager,"Manage integration of various components of the project including hardware, software installation, testing, business process review, redesign, application…",Singapore,NCS,
161,Client Services Representative,Research and analyze historical data to provide solutions).Autodesk is looking for an experienced Client Services professional to join our APAC Client Services…,Singapore,Autodesk,
162,Software Engineer,"Solid grasp of Object-Oriented Design and software data structures, UML is desirable.Design, implement and test system software in support of both the IG-XL…",Singapore,Teradyne,
163,Specialist Solutions Architect - SAP,"Technical degrees in computer science, software engineering, or math highly desired.The SAP Solution Architect works with strategic customers to develop and…",Singapore,Amazon Web Services Singapore,
164,"Associate Director, Advanced Analytics","Data Consulting, Data Governance, Data Management, Data Architecture, Data Science and Data Visualization.Architect data pipelines to bring information from…",Singapore,NCS,
165,Chief Architect (AI/Data-as-a-Service),"Bachelors in Computer Science, Engineering or a related field.They are looking for a Chief Architect to spearhead the organisation's technological innovation…",Tanjong Pagar,Adecco - GS Perm,
166,Business Development Executive,"Sold IT Infrastructure Products, Services or Solutions [such as Servers, Networking Equipments, Storage, End User Devices, Virtualization, Data Center solutions…",Singapore,SP SYSNET PTE. LTD.,"$6,000 - $7,000 a month"
167,Market Data Engineer,To architect and define standards for the next generation real-time market data distribution system;We are seeking for Market Data Cloud Engineer to work with…,Singapore,Sciente Consulting Pte. Ltd,
168,"Director, Data Product Development",Proven experience on Data security and Privacy.Hire and retain world-class talents to deliver data platform projects.We're the team for you.,Singapore,Visa,
169,Technology Architect - Salesforce - London,"Role - Technology / Senior Technology Architect.In the role of Technology Architect / Senior Technology Architect, you will interface with key stakeholders and…",Singapore,Infosys Limited Singapore Branch,
170,Senior Big Data Architect,Hiring for Senior Big Data Architect.The firm is focused on providing end to end solutions to their clients with regards to their data initiatives â from…,Singapore,Kerry Consulting Pte Ltd,
171,Analytics Architect,Minimum 10-12 yearsâ work experience in Analytics and Data Science.At least 4 to 5 years of Data Science Experience.,Singapore,Xchanging Malaysia Sdn Bhd,
172,Applications Architect (Security) - ID 116577,Proven experience as Security Architect or Application Architect with Security knowledge is preferred.Degree in Computer Science and Engineering.,Singapore,NCS,
