,Title,Summary,Location,Company,Salary
127,Data Lake Analyst,"Vous connaissez le big data (R, Python…).En collaboration avec d’autres spécialistes, vous créez un nouveau data lake, qui sera au cœur du projet.",Halle,Colruyt Group,
128,Data Analyst (m/v/x),"U bent in staat om stroomdiagrammen te begrijpen, af te leiden en verbanden te leggen tussen data flow diagrammen.Functie: Data Analyst (M/V/X).",Brussel,BRUXELLES FISCALITE,
129,FREELANCE DATA ENGINEER | Hadoop - Scala - Python,I am urgently looking for a data engineer for a client in Brussels central active in the telecommunication sector.Project involving BI and Advanced analytics.,Brussel,EyeTech Solutions,
130,Data Process Engineer,"Als data process engineer vorm je de brug tussen IT (captatie van data) en data valorisatie teams die maximaal waarde creëren uit deze data voor advertising,…",Vilvoorde,Medialaan,
131,Hybrid Cloud DevOps Engineer,"TenForce is growing and we are expanding our hosting capabilities towards Azure.To guide us in this new adventure, we are looking for an experienced & hands on…",Leuven,TenForce,
132,Research Data Engineer,Samenwerking met de doelgroepen om tegemoet te komen aan hun specifieke data uitdagingen.Gedurende dit proces wordt de data beheerd conform de FAIR principes.,Leuven,KU Leuven,
133,Data Base Engineer,"We zijn op zoek naar een database engineer met een brede interesse, die zich kan inwerken in technologie naargelang de noden.",Schaarbeek,Christelijke Mutualiteit,
134,Junior Data Communication Engineer,"De Junior Data Communication Engineer zal door middel van on-the-job-training opgeleid worden tot een ""subject matter expert"" op het vlak van luchtvaart…",Steenokkerzeel,skeyes,
135,Big Data Engineer,"As a data engineer, you show :Data engineering: 3 years (Preferred).At Klarrio we are specialized in building 'streaming data' -platforms, -processing and …",Antwerpen (stad),Klarrio,
136,Research Data Engineer,Samenwerking met de doelgroepen om tegemoet te komen aan hun specifieke data uitdagingen.Gedurende dit proces wordt de data beheerd conform de FAIR principes.,Leuven,KU Leuven,
137,Data Architect,"Capture data requirements and deliver logical data models, data flow diagrams and other artefacts.A data architect is an IT specialist with experience and…",Brussel,ARHS Group,
138,C/C++ Senior Backend Engineer,"You will be working in collaboration with our engineers, data scientists, and architects to develop new features, integrate new liquidity sources and structure…",Brussel,Keyrock,
139,Harware upgrade engineer,As Upgrade Hardware Engineer for our proton therapy installed base you will be part of a team of engineers to:Lead CCB (Change Control Board).,Louvain-la-Neuve,IBA,
140,Data Engineer/Data Scientist,We want to add some talent to our data team to make sure it can continue its mission of turning the huge amounts of data we gather into gold.,Gent,Massive Media,
141,Consultant Transformation Digitale H/F,"VOUS êtes de formation ingénieur, autonome, ouvert(e) d’esprit et souhaitez rejoindre un environnement hétéroclite.NOTRE mission auprès des DSI :",Brussel,LUCERNYS,€40.000 - €60.000 per jaar
142,Junior IT,"Clear Communication: You are an excellent communicator and storyteller effectively tuning your delivery to your target audience, i.e. from engineer to C-level…",Mechelen,Telenet,
143,Trader,Able to perform swift analysis of market data and identify commercial opportunities.Exxon Mobil Corporation is the world’s largest publicly traded…,Brussel,ExxonMobil,
144,Data Anlayst (H/F),"To apply at all time data management practices (metadata, data dictionary, data consistency, …) whilst ensuring compliancy of and data protection on the data…",Brussel,Insitoo,
145,Data Science Software Engineer,You have experience working on team projects and are able to communicate effectively with other software developers and data scientists.How do we do that?,Wommelgem,OMP,
146,CONTINUOUS IMPROVEMENT ENGINEER - Brussels,"Guided by facts and data.CONTINUOUS IMPROVEMENT ENGINEER (H/F/X).As a key actor of SABCA Lean Transformation, you will be in charge of the Continuous…",Brussel,SABCA,
147,CONTINUOUS IMPROVEMENT ENGINEER - Brussel,"Guided by facts and data.CONTINUOUS IMPROVEMENT ENGINEER (H/F/X).As a key actor of SABCA Lean Transformation, you will be in charge of the Continuous…",Brussel,SABCA,
148,IT Service Desk Helpdesk Agent – Native (or fluent) French (...,"We specialize in helping clients secure their operations, increase the efficiency and utilization of their data centers, enhance support to their end users and…",Brussel,Unisys,
149,Technical Service Engineer,"Je bereidt de technische projectdocumentatie voor, maakt PED constructiedossiers, verzamelt certificaten, data.Nippon Gases slaagt erin iets zo.",Zwijndrecht,Nippon Gases,
150,Hybrid Cloud DevOps Engineer,"TenForce is growing and we are expanding our hosting capabilities towards Azure.To guide us in this new adventure, we are looking for an experienced & hands on…",Leuven,TenForce,
151,Big Data Engineer,"As a data engineer, you show :Data engineering: 3 years (Preferred).At Klarrio we are specialized in building 'streaming data' -platforms, -processing and …",Antwerpen (stad),Klarrio,
152,Junior Data Communication Engineer,"De Junior Data Communication Engineer zal door middel van on-the-job-training opgeleid worden tot een ""subject matter expert"" op het vlak van luchtvaart…",Steenokkerzeel,skeyes,
153,Data Base Engineer,"We zijn op zoek naar een database engineer met een brede interesse, die zich kan inwerken in technologie naargelang de noden.",Schaarbeek,Christelijke Mutualiteit,
154,Big Data Engineer,"As a data engineer, you show :Data engineering: 3 years (Preferred).At Klarrio we are specialized in building 'streaming data' -platforms, -processing and …",Antwerpen (stad),Klarrio,
155,Data Base Engineer,"We zijn op zoek naar een database engineer met een brede interesse, die zich kan inwerken in technologie naargelang de noden.",Schaarbeek,Christelijke Mutualiteit,
156,Junior Data Communication Engineer,"De Junior Data Communication Engineer zal door middel van on-the-job-training opgeleid worden tot een ""subject matter expert"" op het vlak van luchtvaart…",Steenokkerzeel,skeyes,
157,Research Data Engineer,Samenwerking met de doelgroepen om tegemoet te komen aan hun specifieke data uitdagingen.Gedurende dit proces wordt de data beheerd conform de FAIR principes.,Leuven,KU Leuven,
158,Engineer Vehicle Quality,"Min. 2 – 4 years experience in similar function, for example, field service engineer or manufacturing engineer.For Toyota, Quality is a way of life.",Evere,Toyota Motor Europe,
159,Onsite Incident Response Analyst,"Perform incident response and forensic analysis of compromised systems, identify and provide recommendations for remediation of DDoS events and the ability to…",Brussel,Check Point Software Technologies Ltd.,
160,Data Engineer,"You will be the bridge between all teams working on data: data management, data analysis, data visualization and data science.On day to day basis, you will:",Brussel,Intys Data,€28.000 - €30.000 per jaar
161,TIBCO Consultant,"Analyzes current state, makes recommendations, and re-engineers procedures using visual modelling tools.Document corporate-wide functional requirements from…",Brussel,Darwin Rhodes,
162,Data engineer,"Develop and use large data sets to address business issues, this also encompasses the needed data set processes.Your role will consist of:",Westerlo,Juvo bvba,
163,"Process/Manufacturing Engineer - Automotive, Aerospace, Rail...",Gain new insights in the production processes by applying six sigma techniques and analyses on existing or newly added sensor data streams.,Brussel,Altran,
164,Lead Data Scientist,"Create mathematical models and procedures to process big data sets (data mining, data crunching etc.).You have previous experiences in data science projects on…",Brussel,dataa,
165,IT Technician,Le Centre d’Informatique pour la Région Bruxelloise (CIRB) est le leader de la transition numérique à Bruxelles.Être orienté solutions est notre mantra.,Brussel,CIRB,
166,Data Scientist,"As our data scientist, you will provide expertise on mathematical concepts for the broader applied analytics team and inspire the adoption of advanced analytics…",Brussel,WeSmart,
167,VIE/PANGEO Process engineer,Aquiris wants to strengthen the operations team with a process engineer.Analysis and interpretation of a large quantity of process data.,Brussel,Veolia,
168,Hybrid Cloud DevOps Engineer,"TenForce is growing and we are expanding our hosting capabilities towards Azure.To guide us in this new adventure, we are looking for an experienced & hands on…",Leuven,TenForce,
169,Technical Service Engineer,"Je bereidt de technische projectdocumentatie voor, maakt PED constructiedossiers, verzamelt certificaten, data.Nippon Gases slaagt erin iets zo.",Zwijndrecht,Nippon Gases,
